OSEBuildingID,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),NumberofBuildings,TotalGHGEmissions,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
1,0.0,0.0,1927.0,12.0,0.0,88434.0,1.0,249.70499999999998,62.5,0.5371832446431414,0.1793974228434745,0.2834299956773715,0.0,7103895.25
2,15064.0,4622.0,1996.0,11.0,15064.0,88502.0,1.0,279.685,56.0,0.4269615500214787,0.5730480664152934,0.0,0.0,8371084.0
8,68009.0,0.0,1980.0,18.0,37230.0,110505.0,1.0,506.355,71.0,0.39428206031335056,0.6057265598694973,0.0,0.0,14500852.5
9,0.0,0.0,1999.0,2.0,37198.0,60090.0,1.0,303.21500000000003,0.0,0.6065984771279196,0.39341407538133943,0.0,0.0,12069300.0
10,0.0,0.0,1926.0,11.0,0.0,83008.0,1.0,192.3,26.0,0.4571327788210716,0.5428764622174314,0.0,0.0,6005818.5
11,0.0,0.0,1926.0,8.0,0.0,102761.0,1.0,210.75,0.0,0.6086580926581875,0.055034545127108064,0.33632056545058187,0.0,6362076.75
12,0.0,0.0,1904.0,15.0,0.0,163984.0,1.0,361.885,44.5,0.5559530463437364,0.4440584873473133,0.0,0.0,13178782.0
13,0.0,0.0,1910.0,6.0,1496.0,62216.0,1.0,160.56,1.5,0.5351010500154568,0.1894801314440507,0.27542942741672094,0.0,4580504.0
17,0.0,0.0,1928.0,9.0,0.0,65009.0,1.0,331.55,43.5,0.22069642705860643,0.5074710605448985,0.27183751117123567,0.0,6701642.25
19,25200.0,0.0,1922.0,11.0,12600.0,67190.0,1.0,498.82,24.5,0.3691163430113169,0.19873847358294947,0.4321530346885517,0.0,10730730.5
22,40000.0,0.0,1930.0,6.0,0.0,103911.0,1.0,422.475,0.0,0.4799843107330175,0.07707862340822473,0.4429478311672482,0.0,10148339.0
24,15505.0,9741.0,1907.0,5.0,0.0,57452.0,1.0,269.26,0.0,0.4996579864496952,0.26628534445177005,0.23406690083959927,0.0,7543926.25
25,0.0,0.0,1916.0,10.0,0.0,104352.0,1.0,380.27,61.0,0.427730820257204,0.20358094459247145,0.3686923463253873,0.0,8999860.0
28,0.0,0.0,1961.0,2.0,0.0,56228.0,1.0,36.85,95.5,0.6175013165144609,0.38251087575393733,0.0,0.0,1496850.25
29,30586.0,0.0,2001.0,6.0,30586.0,58006.0,1.0,96.045,84.5,0.5992547658738362,0.40075762752224664,0.0,0.0,3772170.25
30,0.0,0.0,1928.0,7.0,0.0,126593.0,1.0,348.32000000000005,0.0,0.4367178082598814,0.5632911341497233,0.0,0.0,10567621.5
31,0.0,0.0,1930.0,2.0,0.0,67224.0,1.0,9.405000000000001,0.0,1.0000212582385517,0.0,0.0,0.0,1349476.8125
32,42000.0,4500.0,1991.0,8.0,30301.0,128375.0,1.0,253.0,0.0,0.10536974702055377,0.8946323984124368,0.0,0.0,5243696.75
33,0.0,0.0,2001.0,10.0,38281.0,133585.0,1.0,324.18,38.5,0.5149337940059472,0.48507707119891785,0.0,0.0,11044430.5
34,0.0,0.0,1955.0,1.0,0.0,126351.0,1.0,122.255,57.0,0.3076613828628797,0.6923513494501073,0.0,0.0,3141613.0
35,0.0,0.0,1978.0,5.0,16200.0,52210.0,1.0,127.005,58.5,0.5253889604389788,0.47462166646843035,0.0,0.0,4399210.25
36,0.0,0.0,1949.0,2.0,0.0,160645.0,1.0,265.275,77.5,0.2777636894016602,0.7222417029148053,0.0,0.0,6583441.5
38,18153.0,4307.0,1906.0,3.0,0.0,87262.0,1.0,153.57999999999998,0.0,0.33269620282963636,0.6673106198367859,0.0,0.0,4067324.75
40,0.0,0.0,1994.0,4.0,0.0,81871.0,1.0,229.185,24.5,0.44594834442270975,0.554061202483601,0.0,0.0,7044166.75
41,0.0,0.0,1955.0,2.0,0.0,118375.0,1.0,3.8200000000000003,77.0,0.886273514646439,0.11374438289622835,0.0,0.0,312542.90625
50,0.0,0.0,1990.0,2.0,0.0,54986.0,1.0,30.125,94.0,0.7560908121221471,0.2439251442406038,0.0,0.0,1652945.625
51,0.0,0.0,1950.0,2.0,0.0,175565.0,1.0,262.36,88.0,0.2503983967429257,0.7496066323440064,0.0,0.0,6313273.25
52,39314.0,0.0,1961.0,2.0,0.0,94900.0,1.0,126.82,57.0,0.7016403380305551,0.29837417508764796,0.0,0.0,6115157.25
53,7849.0,0.0,1900.0,2.0,0.0,52554.0,1.0,70.41499999999999,88.0,0.5513372940522062,0.4486726784036741,0.0,0.0,2544508.625
54,0.0,0.0,1954.0,3.0,0.0,175015.0,1.0,249.785,95.0,0.38181030381229053,0.6181975470659261,0.0,0.0,7037429.25
55,28197.0,3859.0,1911.0,3.0,0.0,70586.0,1.0,42.65,0.0,0.7217749717757266,0.27824035677432496,0.0,0.0,2152845.5
57,65676.0,423.5,1973.0,5.0,0.0,168115.0,1.0,65.355,78.5,1.0000202666645048,0.0,0.0,0.0,9375001.0
58,9354.5,9783.0,1920.0,2.0,0.0,57428.0,1.0,16.63,0.0,0.5731607985492584,0.42683920145074167,0.0,0.0,623681.0
59,4993.0,0.0,1910.0,8.0,0.0,59400.0,1.0,31.33,14.0,1.0000178016695964,0.0,0.0,0.0,4493960.5
61,10211.0,0.0,1900.0,4.0,0.0,48383.0,1.0,112.06,75.0,0.4905835363239832,0.19928738261587398,0.3101497356550452,0.0,2953338.0
62,10043.0,5000.0,1930.0,20.0,10043.0,88591.0,1.0,68.495,58.5,0.8816299700480873,0.11839058879015049,0.0,0.0,5508579.75
